gene_id	synonym
LOC110483380	GPR141_1
LOC110483383	LOC110483383
LOC116183213	LOC116183213
LOC116183214	LOC116183214
LOC116183215	LOC116183215
LOC116183216	LOC116183216
LOC116183217	LOC116183217
LOC116183218	LOC116183218
LOC116183220	LOC116183220
LOC116183223	LOC116183223
LOC116183224	LOC116183224
LOC116183225	LOC116183225
LOC116183226	LOC116183226
LOC116183227	LOC116183227
LOC116183228	LOC116183228
LOC116183298	LOC116183298
LOC116183299	LOC116183299
LOC116183300	LOC116183300
LOC116183301	LOC116183301
LOC116183302	LOC116183302
LOC116183303	LOC116183303
LOC116183304	LOC116183304
LOC116183305	LOC116183305
LOC116183344	LOC116183344
LOC116183347	LOC116183347
LOC116183350	LOC116183350
LOC116183352	LOC116183352
LOC110467842	LOC110467842
LOC110467843	LOC110467843
